"","textOriginal","hard_marker","easy_marker","authorDisplayName"
"31","I can’t be the only one who changes parts of the song to make it easier",NA,NA,"Bleak Games"
"32","I only watch this video five minutes at a time",NA,NA,"Sickjuicy's Jam Shack"
"33","a true king is in a video and he has a fedora and a beard",NA,NA,"Deklan Curry"
"34","I have no idea how to do this u confused me but the beginning I could do but I want to know the whole song. I’ve been at this for two weeks",NA,NA,"Gavin Pope"
"35","thank you for this tutorial i went on a bunch of different tutorials on youtube and all of them were just way to fast but this one explained it amazingly i just really want to thank you as i was going to give up until i saw this although i didn't finish it on the first day this still helped me alot",NA,NA,"Simon Mamcarczyk"
"36","Don’t mind me, just marking my spot 
5:47",NA,NA,"Kasey Swan"
"37","Where is the tutorial for the part from 17:23? :(",NA,NA,"Miroslav Bartl"
"38","First song I learnt on guitar. Cheers Marty",NA,NA,"Z3"
"39","""I recommend this guide:
*hopy.best/guitar-guide/0eF*
So grateful it exists.""",NA,NA,"Yer rosenbeck"
"40","great tutorial :D i was able to play it (slowly) in about 30 minutes!! yay !",NA,NA,"「ねこ」izzles"
"41","I can’t get the string to vibrate strong enough so that it’s still audible after the slides 🙁 it always ends up with a muffled sound",NA,NA,"Andrey Polyakov"
"42","Wonderful and easy",NA,NA,"Allwyn Correia"
"43","My guitar is broken when I do the hammer thing on the 8th fret it doesn’t do the same sound... sad",NA,NA,"Jane Alexis"
"44","great video to learn nothing else matters",NA,NA,"Gandresch"
"45","Anyone thinking why he didnt explain from 17:21",NA,NA,"Lalhrimi Sailo"
"46","Sei un grande!!!",NA,NA,"Mario Cara"
"47","Whats the tabs for these song?",NA,NA,"Jeff Goodman"
"48","11:25",NA,NA,"Lily Swal"
"49","my strings dont ring out on the slide???",NA,NA,"TheGoldenlegend1"
"50","help my string dont ring out on the 5th string when i try to do that thingy",NA,NA,"TheGoldenlegend1"
"51","12:10 don’t mind me just putting down where I left off",NA,NA,"Waylon_Le_simp_slayer517"
"52","Thank you very much! Teşekkürler !",NA,NA,"Blacković hromblesk"
"53","Why is he so bad at explaining",NA,NA,"Mathias Albornoz"
"54","7:18 I’m having this problem that I strike the string and it makes the note that I want it to make, but when I quickly change frets while the note is still ringing, the note just stops.",NA,NA,"Frobisher"
"55","Ive vome back to this song 4 times and from fresher to a begginer level i am finaly learning and able to play this after 3 months of practicing other songs",NA,NA,"akshat sharma"
"56","Fucking fuck I can't do it 😭 you gotta slow down every single new note going on for slower people cause you switch too fast. I've repeated the same note like 500 times and I still don't get how to move my fingers that way.",NA,NA,"Yanira Andreu"
"57","Marty I’m a beginner an I’m learning so much from your videos. Thanks for all the videos.",NA,NA,"Ray Colby"
"58","Fingerstyler guitar: Yawnn....",NA,NA,"Vitamin C"
"59","I’m a pianist so trying to bend my wrist at this ungodly angle is killing me😂",NA,NA,"Mickey Frickin mouse"
"60","Pulling off the 2nd fret of the first string is so hard with my pink and ring finger on the fifth fret of the 2nd and third strings. My hands are small as fuck.","hard",NA,"Jordan Carver"
"61","is that a steel string guitar?",NA,NA,"quantum rocks"
"62","Tabs:https://www.songsterr.com/a/wsa/metallica-nothing-else-matters-acoustic-tab-s84465t0",NA,NA,"Shannon Briggs"
"63","Great video but you didn't break down 17:22 to the end.",NA,NA,"playmuchortryntolose"
"64","What should I do if my higher e string is quiet af? Buy a new guitar? xd",NA,NA,"Róbert Lócskai"
"65","I just started learning the guitar today 
( So i already play the piano and used this method of pushing hard from the beginning so when i go back to easy pieces that should feel average they actually felt easy ) i wanna do the same thing with the guitar and i have no idea if i can do this in like a month maybe ? 
Should i start with easier or can i do this 👉👈 as a first piece but giving it time
EDIT :  i tried... Answered myself .... Dont ....","hard",NA,"Yasmine Bouaoud"
"66","Forgot to explain the last part marty lol thanks for teaching tho been practicing for a month and got it down so far you explain very well and enjoy your videos ✊",NA,NA,"Malcolm Crank"
"67","1:13",NA,NA,"a wt"
"68","I have small hands so reaching for the second fret a string with the other two on the fifth is a challenge for me",NA,NA,"Alex Neihardt"
"69","12:05",NA,NA,"Normal Man"
"70","I just started playing a few weeks back this looks like it’s gonna be really hard 😭","hard",NA,"Juba Aliu"
"71","I just got an ad explaining how their website to learn guitar is good and yt videos r bad and I was like

My g hasn't seen marty music yet",NA,NA,"yoshikage kira"
"72","Pls give the Tab.",NA,NA,"Jelo Bucao"
"73","What do you call a bass player who breaks up with his girlfriend?



Homeless.


What do you call the girlfriend? 


Smart. 😅


SO MANY BASS PLAYERS...
SO LITTLE TIME... LOL",NA,NA,"Varun Agrawal"
"74","Thanks Marty your my hero 🤟🏻",NA,NA,"ojnoJ"
"75","I’m not trying to be a downer but what about the last part where the song the song breaks down?",NA,NA,"Lethal Wound"
"76","owsome and many thanks",NA,NA,"Katana Ikiru"
"77","I can't do hammer-ons and pull-offs. I'm blaming my chinese SX guitar, but it must be me...",NA,NA,"Dominic H."
"78","5:14 um someone please tell me how he plucked the top sting without moving his thumb lol",NA,NA,"mrpink"
"79","How do I get the hopo to actually ring out",NA,NA,"It’s_Robbie Time"
"80","Who’s learning playing guitar while quarantine? 😜",NA,NA,"My life is going on"
"81","What’s a good way to loosen your left wrist fingers?? 😆 mine are just like sticks",NA,NA,"Mountain news now"
"82","Great instructor",NA,NA,"Mountain news now"
"83","To all of those struggling, the TAB kinda helped me more.

https://tabs.ultimate-guitar.com/tab/metallica/nothing-else-matters-tabs-8519",NA,NA,"Ezekiel"
"84","What tuning is this?",NA,NA,"John Matin"
"85","Hey, the subtitles are so disturbing. Anyways to get rid of it?",NA,NA,"Sandeep Acharya"
"86","after the hammer on the high e in the start my string keeps getting muted no mater what i do, how do i prevent this?",NA,NA,"phoenix 87"
"87","7:19",NA,NA,"Leo Söderberg"
"88","I actually only came here for the 14:24 part but I was in fact doing that correctly already - I did learn to understand the 7:20 part way way better! I always played the correct notes but my timing was off. Great to grow better understanding of this beautiful song :)",NA,NA,"Flik"
"89","It sounds like I’m listening to Jack Black giving a guitar lesson but its just Marty",NA,NA,"drake yniguez"
"90","This song is over 9000",NA,NA,"Ameer Emad"
"91","wow that so ha",NA,NA,"zZWAR_Legends"
"92","I have a spanish guitar and it sounds different. Is it harder to play it on spanish guitar or do I have to practice better?😂","hard",NA,"Rebeca de Niet"
"93","Thanks for this awesome and comprehensive video Marty. Got a third of this sussed in a day. Just keep adding pieces and repeat from the start. Thanks again 👍♥️",NA,NA,"Truth Cerum"
"94","7:33",NA,NA,"Angelina Krunic"
"95","I remember when I picked up the guitar this was the first song I’ve tried to learn and then after some months I’ve quit playing. Then 5 years later I’ve picked up the guitar again learned some songs i liked and came back to this classic and learned it in not even 30 min and it’s crazy how hard it seemed in the beginning and how “easy” it is with some constant practice :)","hard",NA,"DatDan"
"96","So many of the tabs for this are off, anyone got some accurate tabs that have the hammer ons and offs done accurately?",NA,NA,"Jordan Fire Star"
"97","You did not explain in any video how to play the part that comes after the harmonics",NA,NA,"Agustin Jaimez"
"98","Bored during quarantine
Learned this song in 2 days
Don't give up guys 
Just put your mind into it and after couple hours 
Its on!",NA,NA,"Anish Anish"
"99","7:18 note to self:",NA,NA,"Dominic"
"100","5:30 how to hammer on without fingering the high E twice?",NA,NA,"Dominic"
"101","Very inspired by your hard work ...pls keep up the good work","hard",NA,"Rishabh Sharma"
"102","No word .👏👏👏",NA,NA,"Max"
"103","Mužeš mluvit česky jestli umíš",NA,NA,"Big Smoke"
"104","Thank you! I'll be playing this song in no time. I absolutely love this song. You made it so easy bro. Thanks 
I'll be sticking around to learn more 🖤🥰",NA,NA,"Katie Bain"
"105","5:09",NA,NA,"estmagicz _"
"106","His website",NA,NA,"Obey The vulture"
"107","same problem here, and i cant wait someone answers this so we can fix it.",NA,NA,"Ma So"
"108","I have long fingers and it’s a nightmare for me",NA,NA,"Dean Trickey"
"109","He didn’t, his thumb just lightly hit the string and it moved the string",NA,NA,"Cody Strykowski"
"110","Me",NA,NA,"Antoine Sawaya"
"111","#relatable sorry for hashtagging",NA,NA,"Daniel Rivera"
"112","Me",NA,NA,"Jose Pablo Gonzalez"
"113","Mhm",NA,NA,"Knowledge Tech"
"114","Figured now i have nothing to do i should finally pick up a guitar and start playing, haven't had regrets ever since",NA,NA,"sfxmade"
"115","Standard",NA,NA,"Cody Strykowski"
"116","Now I can’t unhear this 😂",NA,NA,"VD Berg"
"117","@Yvette Timmer Keep on going it will be worth it, it just takes some time :)",NA,NA,"DatDan"
"118","Me rn hahaha help me",NA,NA,"Yvette Timmer"
"119","@Norixus same here 😩 I'm stuck at this part",NA,NA,"stormiskiies"
"120","Also can't figure it out.. I sort of get the hammer on the 8th fret but as soon as I try to move to the 5th fret the sound is immediately killed 😪",NA,NA,"Norixus"
"121","5:40 note to self:",NA,NA,"Dominic"
"122","Really Great Tutorial",NA,NA,"RONMAYS71"
"123","it is impossible to play",NA,NA,"Kaan Mese"
"124","You suck at teaching guitar, it really hard for begginers to learn from angle you're taking the video and the way you explain for example you hold the string and you just keep playing idiot you don't know how to explain that that and that wtf does that that and that mean pull this and then pull that itseems, you're just not good enough to teach","hard",NA,"Mithul Kandur"
"125","sweet",NA,NA,"Oddfutureladd"
"126","This literally took me 2 weeks to do it, still not perfect but i got it!! heck yea im proud of myself",NA,NA,"Ezzad"
"127","Ow pain",NA,NA,"Oh Hello"
"128","I immediately regret my “It looks easy”.",NA,NA,"Elite_Ervin"
"129","At 7:18 I can't get any noise when I take off my ring finger or when I try to slide. Can someone please help?",NA,NA,"Zuza Zora"
"130","16:30 please pay attention once (note to self btw)",NA,NA,"J0R1S_ V"
"131","i literally learnt this song from you thank you",NA,NA,"jett rylance"
"132","please do a mudvayne world so cold tutorial",NA,NA,"Julian Sandoval"
"133","no idea wht kinda magic or glue your using to place your ringfinger and pinkie so straight above eachother but mine will either shoot back besides one another or if I force them not reach the string or mute all other strings... but damn if i gonna keep trying",NA,NA,"Wilfred Koershuis"
"134","Hi! I'm not English/American, but you teach very well, and so I understand. Thank You!",NA,NA,"Gabor Draskoczy"
"135","omg please tell me your secret i reach to the second fret because i mute g string :(",NA,NA,"mishmash 45"
"136","thank you so much for this! I pretty much nailed it in about two hours :)))",NA,NA,"lost Zelxio"
"137","YEEES AFTER ONE MONTH I GOT THE FIRST PART",NA,NA,"In the Spirit of MIKHAIL TAL"
"138","If anyone struggling like me, there is a feature in the video settings where you can slow the video down half/quarter speed! really helps to break it down",NA,NA,"Jahirul Tusar"
"139","Ughh I can’t really see it that good maybe if you zoomed in 😩",NA,NA,"Jasimine Davis"
"140","Dude...   great teaching skills!    Hope to see many more.",NA,NA,"gsxrmotoguy60"
"141","The ad prior to this video was super antagonist lol.",NA,NA,"Belle Bivins"
"142","Who’s watching after Jarvis got banned",NA,NA,"Ryan Syed"
"143","0:05",NA,NA,"Jaime Encisa"
"144","Learning this today for ANZAC day 👍 25/4/2020",NA,NA,"SRH YAH"
"145","love love love",NA,NA,"Rabin Shrestha"
"146","So I am practicing this for the first time of holding an electric guitar and it looks easy......

Then at 11:27 and I quit. how the hell can a human hand do that.. ??!!!",NA,NA,"Hamzeh Sabbagh"
"147","This was my first song on guitar, thanks so much",NA,NA,"chris mazariegos"
"148","Can u do glycerin by Bush",NA,NA,"Matthew Sakalis"
"149","Why am I here? I don't even have a guitar lol",NA,NA,"TØP clique boi"
"150","Hey, anyone else finding in physically impossible to do 10.51? My ring finger cant reach the A string's 2nd fret at the same time as  the other 2 (pink and 4th finger) on the 5th fret :( Sucks because I've spent hours to get this far an feels like a brick wall. Done finger stretches and everything FML. 
Tips/suggestions ?",NA,NA,"MakeSomeonesDay"
"151","I learned it in 7 hours fuck yeahhhhhhhhhhhhhhhhhh but that slide is dammmmmm hard I'm still very sloppppyyy and it sounds very ridiculous and very slow but still I can play it in one go even if it sounds like a 1cent music yeshhhh  nanana congratulations work so hard forgot how to vacation yeaaaa and thanks to lockdown which made all this possible bye","hard",NA,"solo loner"
"152","Could you teach One by Metallica?",NA,NA,"Desmond Jentsch"
"153","2020?",NA,NA,"Majredo777 So2"
"154","Here come the Simply Guitar ads",NA,NA,"Frightened Noodle"
"155","Ok. Ill start learning this rn. Let's see how long it takes me. I'm a n00b so I won't be expecting less than a month lol.",NA,NA,"Mohammad Zahi"
"156","I know it might be a bit too late to ask this but where is the tutorial to the last part cause part 2 skips that and soesnt show it",NA,NA,"Bakers Gaming"
"157","Maybe that's the only video i've watch numerous amount of times so far on youtube.",NA,NA,"Stan P."
"158","I don't get one thing. In the beginning where you play it when you reach the 2 strings on the 7th thread you do it twice then move finger to 5th thread high E BUT in the beginning you dont hit the B and in the tutorial you hit both E and B. What should i believe?",NA,NA,"Stan P."
"159","Love ur videos ur a goat very helpful thank for everything 🐐🙏🏻",NA,NA,"Kris & Chez"
"160","Marty please help can you please break it down in parts and do it slowly and a closeup at the firs few parts because im that bad 😭",NA,NA,"Rexify"
"161","epic video",NA,NA,"Ciro"
"162","That hammer then slide at 5:35 got me stressing!",NA,NA,"stc94"
"163","It's never like the album version :(",NA,NA,"Ivalince"
"164","Thank god he doesnt charge by the hour",NA,NA,"Jo Blo"
"165","To fast",NA,NA,"Bob J"
"166","I think i did something like 10k views on this vid lmao",NA,NA,"Jan Kiwiński"
"167","I’m having a tough time with the stretch from index 2nd fret low E to 5th fret ring and pinky on G B strings.  Any suggestions?",NA,NA,"Rob Berg"
"168","10:52 I was doing ok until this part. My index finger cant stretch out that far wtf. Rip me",NA,NA,"brian sanchez"
"169","My stretching isnt the best when i try to put my pinki and ring finger on the 5th fret while trying to reach for the 2nd fret",NA,NA,"Mr. Typicalgamer2"
"170","VERY NICE... Perfect if I must say...",NA,NA,"Ron Coomer"
"171","Hi Marty, thank you so much for this. Have do done part 2 please? I could not find it on your playlist. Many thanks!",NA,NA,"langa06"
"172","How long did it take most people to learn the first 7 minutes on the video? 😂",NA,NA,"Kenya Moore"
"173","I mean the part which you play at the end of this lesson??",NA,NA,"Aparna Davidson"
"174","Can you please teach even the adjoining part?",NA,NA,"Aparna Davidson"
"175","my index finger doesn't know if anything else matters anymore",NA,NA,"WhaT?eR"
"176","kirk Hammett, you're son of a beach! I love this intro. Fingers can't say the same.",NA,NA,"Renzo Rodrigues"
"177","Thanks Marty!  I'm fifty years old, never played a musical instrument before.  I bought an electric guitar so I wouldn't go crazy in self-isolation at the house.  I'm just starting and most of the time I make awful noises, but every once in a while when it actually sounds like music, it's an awesome feeling.  I appreciate you taking the time to help out noobs like me.  Rock on!",NA,NA,"Jeff Lebowski"
"178","Meanwhile, I still struggle to play 3-fingers thing XD",NA,NA,"Benjamin Licen"
"179","You shouldnt hold the string down on the fret but rather in between them. Its a very bad habit you get early on and can devestate a note completely by muting it.",NA,NA,"ewok eater74"
"180","Wow .. you are a great teacher my man 👍👍. Really neat way to do it , even a monkey can learn it",NA,NA,"Illya K"
"181","Great video thank you",NA,NA,"Ste Bond"
"182","One of the best lessons... thanks man",NA,NA,"Ramesh Kadambi"
"183","God! I am learning this right now! Part2 I am coming! 😁 Love this song",NA,NA,"Veronica Reverse"
"184","🙏🙏🙏",NA,NA,"rogerio duarte"
"185","Impossible to watch you with those crab claws man I can't understand how it's possible without your ring finger 🤯",NA,NA,"Ross"
"186","how to do the last part?",NA,NA,"Alona Starostina"
"187","Hi, today 07.04.2020 y buy a guitare acoustic and i don't have idea play but i want learn this beautiful song and i will be back in 1 month with feedback.",NA,NA,"Summer Vibe's2020"
"188","18 minutes turned into 18 days",NA,NA,"Ryan Ragland"
"189","Your tutorials are good but you should add tabs",NA,NA,"Dirty Avacodo24"
"190","merci !",NA,NA,"Jérémy MTs"
"191","The art of teaching here 
I finally made it to the harmonics without going completely  nuts",NA,NA,"Georges Fontenelle"
"192","4:50
8:52",NA,NA,"Prajwol Gyawali"
"193","Dude that hammer-on with a slide is coming to me in my nightmares and I'm only 6min in
...
Edit: OF PART 1!",NA,NA,"Ivan Ivanov"
"194","I have small fingers, I can't do this part. dammit 10:56",NA,NA,"Larry Shipper"
"195","12.17 My little hands can't reach that far and I am sad because this was my first song and I was getting it until now",NA,NA,"eyeessee"
"196","i have tiny hands so getting the chord is a nightmare, seriously helpful tho, much appreciated",NA,NA,"Angelo Locatelli"
"197","Why didn't you show us the last part?",NA,NA,"john Glynn"
"198","My brain can't rub its belly and pat its head when it comes to playing two things at once. Any tips?",NA,NA,"Barking_Mad"
"199","Hey Mr. Marty how long did you have to practice if you play this song perfectly? Greetings from god old Germany👍 and thanks for the great execution",NA,NA,"Robin W."
"200","Yea Im bouta break my wrist. Next song",NA,NA,"Daniel Baller"
"201","You should do Thunder Rolls by Garth Brooks",NA,NA,"Sam Syryczuk"
"202","I'm so bad i had to divide part 1 into 2 parts
Rip fingers, time to learn the hell out of this",NA,NA,"Etgij Xiaya"
"203","Just started, wish me luck! 😔✊🏻",NA,NA,"Fr3nx"
"204","9:44",NA,NA,"Younes."
"205","17:38 tabs?",NA,NA,"Dirume Unboxing"
"206","one song for all the quarantine okay i get it",NA,NA,"marti parera sardà"
"207","2 days and I'm still at minute 7...",NA,NA,"Thuần Vi"
"208","my new channel guitar:https://www.youtube.com/channel/UCnLyGENZ4BhCkJlKOrZTbOg",NA,NA,"Yassine Ait"
"209","7:40",NA,NA,"Aaron Pistachio"
"210","Marty, thank you for this wonderful video. It is going to be another 21 days of lock down here in India due to the ongoing epidemic and videos like these are a great way to learn Guitar.",NA,NA,"Madhu Gubby Nagaraju"
"211","At 00.48 which string is his middle finger on?",NA,NA,"revanth yedla"
"212","Are these available anywhere as notes? Or gp?",NA,NA,"Zahra Seyedghorban"
"213","Rip fingers, time to learn the hell out of this
0:00 aye good i can do it
2:44 the what",NA,NA,"Kunzehjm Augustuspyb"
"214","HEY Marty, what happened to the end bit of part 1?
Me: watches a ton of guitar lessons on YouTube
YouTube: let’s play a simply piano ad!
Practice this like nothing else matters ;)",NA,NA,"Trieu Giang Thanh"
"215","Excellent tutorial!",NA,NA,"Todor Tashev"
"216","the sound he makes at 18:04 is ummmmmmm interesting",NA,NA,"Coby Real"
"217","It's too hard","hard",NA,"EM Gaming"
"218","It's too hard","hard",NA,"EM Gaming"
"219","5 milions! Wow, Congratulations",NA,NA,"Venca"
"220","I'm 44 yrs old and for some reason I decided to learn starting in January. My oldest son (21 yrs old) talked me into learning this song. Getting fairly good at. I practice at least 5 mins a day.",NA,NA,"William Cisneros"
"221","There are some things that could be explained easier for those with less skill, however I felt this was a very good video and this combined with the Tabs were helped me to know what I am meant to do (Now it's just getting my fingers to listen!) - I feel like your criticism is overly harsh, though I understand it's a really bad time in the world. Feel free to PM me if you want and I can assist you?",NA,NA,"Kurozyl"
"222","Nothing else matters, is a disgrace to the band if played by you",NA,NA,"Mithul Kandur"
"223","I had the 1st 4 open strings on smash - then finally got over the 7/0 hurdle to the 7 hammer 8 slide to 5 hurdle - Now worrying my hands are too small too small to cover fret 5 and 2!",NA,NA,"Kurozyl"
"224","@Kurozyl Oh I'm actually in England too, I just have a messed up sleep schedule 😅 I'll find you on discord then",NA,NA,"Zuza Zora"
"225","@Zuza Zora I have discord as well. I'm in England so our time differences may be an issue seeing as you sent this at 3am my time, but kurozyl#1718 on discord :)",NA,NA,"Kurozyl"
"226","@Kurozyl You are an amazing person, thank you! I don't have Skype but I can always download it. Maybe Discord?",NA,NA,"Zuza Zora"
"227","Drop me a PM - Happy to do a skype session or something - I'm also a noob, but managed to pass this hurdle and happy to help",NA,NA,"Kurozyl"
"228","i cant reach*",NA,NA,"mishmash 45"
"229","He explains it pretty dang well and he says what Fret and string to use",NA,NA,"In the Spirit of MIKHAIL TAL"
"230","If ur able to, try barring the b and g strings on the 5th with ur pinky, it will make the stretch easier but the issue is keeping the bar from muting the high e",NA,NA,"Will Groce"
"231","MakeSomeonesDay I’m having the same problem! Any updates on the situation? Did you manage to do it?",NA,NA,"Filipa Sargaço"
"232","Doesnt*",NA,NA,"Bakers Gaming"
"233","just keep  practicing my man, you'll get it eventually. If this kid can do it you can do it too https://www.youtube.com/watch?v=jUvv5ofa2YI",NA,NA,"MrLovaLova"
"234","DUDE SAME, IT'S IMPOSSIBLE",NA,NA,"Leon Krušlin"
"235","Kenya Moore  to me 1 hour 😂",NA,NA,"Ashley van der Kolk"
"236","U rushan",NA,NA,"Jedyz Games"
"237","im struggling with the hammer on pull off on the 5 fret e and pull off 7th b",NA,NA,"Aarne Hakli"
"238","@stormiskiies Comeback here when u do. It will be sooner then u think",NA,NA,"Rodolpho Netto"
"239","@Rodolpho Netto I'm trying too 😔",NA,NA,"stormiskiies"
"240","​@stormiskiies I just find out that for luck, but the studio version has that 2 slide, I can hear it. I'm stll trying to do it tho",NA,NA,"Rodolpho Netto"
"241","Forget it, I found a way",NA,NA,"Larry Shipper"
"242","Minion Dave and you? doing good?",NA,NA,"Fr3nx"
"243","Fr3nx that’s good my guy",NA,NA,"Djmiinxs .1"
"244","Minion Dave pretty good actually, I learned part 1 and part 2 already, it was pretty easy :)",NA,NA,"Fr3nx"
"245","How you doing so far 😪🤚",NA,NA,"Djmiinxs .1"
"246","same i watched the video like 3 times, still can't find it...",NA,NA,"Thomas Isaac"
"247","This is the hardest song ever","hard",NA,"R o L x"
"248","4:54 9:42.     11:30.      10:18",NA,NA,"5CupsOfCoffee"
"249","Marty, well done. I'm starting my adventure with guitar and yours lessons are amazig, soo clear  for newbees. Thanks mate.",NA,NA,"dorailuki"
"250","It will take me the whole 2020 to LEARN this tune",NA,NA,"Taskwillow"
"251","0:16 my finger just cant reach the e string ;(",NA,NA,"JoPe"
"252","Thanks! I get it fast and its one of my favourite songs!",NA,NA,"03.15 Am"
"253","Why is it that I learned to play the solo in 1 day but this is taking me weeks",NA,NA,"The Apothecary"
"254","I made a playlist with only guitar lessons, and i have been saving Marty's videos to learn when i get a guitar.",NA,NA,"Elite_Ervin"
"255","Yay! I managed that stretch to the 2nd fret at the end of the 9th bar after an hour of practising just that part.....I can't play the 9th and 10th bars cleanly yet, but I can make a legible sound at least! Difficult stretch for those of us with little hands. Your courses are great as well...tried a couple of free ones to see what they were like and definitely going to make use of the paid ones over the next few weeks as we are beginning our quarantine period in my country starting tomorrow. By the time this plague is over, I'll be rivalling Yngwie, just you wait and see!",NA,NA,"LouD"
"256","Yo props man you killed that intro",NA,NA,"E J"
"257","Actually starts at 1:13",NA,NA,"Anonymous Change"
"258","i just can't make that damn hammer on on the 8th fret ring out right :(",NA,NA,"Marouan Kobee"
"259","Rip fingers, time to learn the hell out of this
Me: watches a ton of guitar lessons on YouTube
YouTube: let’s play a simply piano ad!",NA,NA,"Schuppewpt Curtcka"
"260","How do you play Amanda by Boston?",NA,NA,"Thombat"
"261","fucking long explainaition for nothing",NA,NA,"Dominik Ménard"
"262","verry exactly, thank you. For me more playing and less talking would be nice",NA,NA,"Micha"
"263","The missing part between 1&2 !!! https://youtu.be/6Nvh6lkWojQ",NA,NA,"harre barre"
"264","Guitar Tricks isn't the best advert they could have put in front of a YouTube guitar lesson :D",NA,NA,"LouD"
"265","Whats funny is i have been playing the intro many times thinking its just some nice beat not even knowing where it came from",NA,NA,"GamerDudeplayz Games"
"266","Just bought a guitar, lets do this.",NA,NA,"Struggler"
"267","10:53",NA,NA,"harre barre"
"268","You didn't do the third verse, in this video or the second video",NA,NA,"RC Explorer red clay"
"269","U make it look to easy im having trouble but will not give up
Rip fingers, time to learn the hell out of this",NA,NA,"Dorothy Vinson"
"270","3 weeks ond this back and forward.",NA,NA,"Kristaps Tarasovs"
"271","U make it look to easy im having trouble but will not give up",NA,NA,"Gerardo Hernandez"
"272","HEY Marty, what happened to the end bit of part 1?
Practice this like nothing else matters ;)",NA,NA,"Leon Mattox"
"273","It’s a big mistake learning this song as my first finger style guitar lesson I think I should stick to the power chords for a while....",NA,NA,"Gaming Doggo"
"274","Practice this like nothing else matters ;)
Me: watches a ton of guitar lessons on YouTube
YouTube: let’s play a simply piano ad!",NA,NA,"Kemmerwfn Christinamzn"
"275","Martyllica.",NA,NA,"creater royal98"
"276","I'm having a really hard time with this song and I dont know why. I'm pretty good at guitar but for some reason, this is diffcult for me. I started getting frustrated so i quit for the night. Will come back here tomorrow.","hard",NA,"David Ciulla"
"277","i got it..thx again..",NA,NA,"metal head"
"278","thx for your lesson ...",NA,NA,"metal head"
"279","Me: watches a ton of guitar lessons on YouTube
YouTube: let’s play a simply piano ad!
Its too hard for me xD","hard",NA,"Elyse Teoh"
"280","HEY Marty, what happened to the end bit of part 1?
11:54 I am literally on day 12
EDIT: So it took me 17 days in the end.",NA,NA,"Abernathywyj Donlmn"
"281","Can you use a pic cause I'm not as good with just my fingers plucking the strings",NA,NA,"Exarack 666"
"282","Marty the last part",NA,NA,"Chris Guess"
"283","Practice this like nothing else matters ;)
U didnt show HOW to Do the last part",NA,NA,"Armyillks"
"284","Its too hard for me xD
8:46-8:50 😫😫 lol Its so smooth when you do it.
HEY Marty, what happened to the end bit of part 1?","hard",NA,"cristina197040"
